#{"t_start": 1743793773.169447, "env_id": "sneaky_enemies"}
r,l,t
3.0,23,0.041062
2.0,11,0.056077
1.0,7,0.067584
4.0,11,0.084095
2.0,11,0.097614
4.0,22,0.12714
2.0,7,0.136649
2.0,15,0.157664
5.0,18,0.185705
1.0,4,0.192224
3.0,24,0.224282
1.0,7,0.233801
5.0,15,0.252834
1.0,7,0.26235
3.0,5,0.268869
1.0,5,0.274864
1.0,3,0.279373
3.0,27,0.312407
4.0,11,0.32751
1.0,11,0.341081
4.0,22,0.366779
4.0,23,0.393914
2.0,3,0.398024
1.0,2,0.401021
6.0,31,0.439978
3.0,14,0.458986
2.0,7,0.468592
2.0,11,0.481158
1.0,7,0.490702
2.0,11,0.504311
2.0,15,0.52246
2.0,14,0.540573
1.0,5,0.547174
1.0,3,0.551178
10.0,42,0.60239
3.0,19,0.627937
1.0,7,0.638544
4.0,19,0.664123
1.0,7,0.674667
3.0,7,0.684113
1.0,8,0.694655
5.0,15,0.724468
1.0,2,0.727984
4.0,31,0.767142
8.0,17,0.788776
2.0,7,0.797293
2.0,7,0.806822
2.0,15,0.825846
3.0,15,0.844371
3.0,13,0.860395
4.0,23,0.889924
4.0,23,0.91868
1.0,6,0.926221
2.0,15,0.943818
4.0,19,0.968529
1.0,5,0.975503
3.0,15,0.993624
1.0,3,0.997697
5.0,50,1.05716
1.0,6,1.064162
3.0,11,1.080286
4.0,25,1.111347
1.0,3,1.114347
4.0,31,1.155507
6.0,12,1.172051
3.0,9,1.183625
1.0,5,1.189159
5.0,26,1.220441
1.0,28,1.254127
1.0,7,1.263695
1.0,3,1.268264
2.0,11,1.282834
4.0,9,1.293401
4.0,27,1.32724
2.0,8,1.336773
5.0,39,1.383004
2.0,32,1.420799
1.0,8,1.431366
3.0,11,1.443918
1.0,13,1.462031
4.0,15,1.482091
5.0,14,1.500725
3.0,12,1.514934
2.0,7,1.523504
1.0,7,1.533077
4.0,51,1.595847
4.0,7,1.604511
4.0,15,1.623666
1.0,5,1.630192
5.0,19,1.653348
2.0,11,1.668497
2.0,13,1.684067
2.0,21,1.71115
1.0,7,1.720698
3.0,23,1.749253
2.0,11,1.762856
2.0,11,1.775955
3.0,11,1.790546
3.0,38,1.837455
3.0,15,1.855978
3.0,15,1.875585
3.0,16,1.894185
3.0,11,1.907837
2.0,11,1.922411
1.0,7,1.931903
9.0,26,1.963453
3.0,35,2.006538
2.0,3,2.010543
3.0,10,2.023061
1.0,3,2.027573
3.0,15,2.046608
1.0,11,2.061132
2.0,11,2.07465
2.0,11,2.088744
1.0,7,2.09686
3.0,23,2.125916
3.0,35,2.168711
4.0,29,2.203489
2.0,19,2.227017
3.0,19,2.250733
2.0,9,2.261903
6.0,31,2.29927
3.0,11,2.312883
12.0,38,2.361598
2.0,6,2.369115
1.0,4,2.374115
2.0,12,2.39015
3.0,15,2.407706
3.0,7,2.418222
1.0,3,2.423222
4.0,15,2.440861
4.0,15,2.460978
1.0,9,2.472581
4.0,35,2.513983
2.0,7,2.523551
3.0,35,2.563848
3.0,11,2.577984
1.0,5,2.58552
2.0,11,2.599634
2.0,7,2.608219
7.0,26,3.828938
3.0,35,3.895565
4.0,15,3.917119
2.0,11,3.932641
1.0,11,3.949656
2.0,15,3.969675
1.0,2,3.973676
6.0,30,4.018584
1.0,3,4.023586
3.0,11,4.036602
4.0,35,4.086287
3.0,11,4.100809
4.0,31,4.142029
4.0,23,4.171583
4.0,13,4.18862
2.0,23,4.2177
3.0,11,4.232215
3.0,36,4.276806
5.0,23,4.305865
4.0,27,4.340427
2.0,15,4.359462
3.0,15,4.381533
2.0,11,4.396531
3.0,50,4.458597
3.0,9,4.469167
1.0,3,4.474168
3.0,26,4.506933
2.0,6,4.514963
2.0,7,4.523535
1.0,15,4.542648
1.0,12,4.556732
3.0,11,4.570248
3.0,4,4.575756
1.0,7,4.586277
2.0,19,4.609836
5.0,50,4.671939
3.0,23,4.700494
5.0,22,4.728564
1.0,11,4.745589
2.0,7,4.7556
5.0,15,4.773634
3.0,23,4.802696
10.0,24,4.833302
3.0,19,4.857198
2.0,34,4.90228
3.0,19,4.926334
2.0,7,4.934337
1.0,8,4.944847
2.0,11,4.959868
4.0,63,5.036408
5.0,21,5.061582
2.0,15,5.080708
3.0,19,5.104404
2.0,7,5.113982
4.0,31,5.153145
5.0,31,5.190345
5.0,32,5.230047
1.0,15,5.249657
3.0,11,5.26474
3.0,11,5.278012
2.0,11,5.293552
2.0,25,5.323627
1.0,3,5.327144
4.0,27,5.361694
1.0,3,5.365694
2.0,8,5.376731
3.0,15,5.395756
4.0,27,5.435993
3.0,24,5.471617
3.0,19,5.496151
2.0,19,5.519707
3.0,27,5.552863
7.0,23,5.58209
4.0,11,5.597118
3.0,19,5.62471
1.0,15,5.642553
4.0,19,5.666157
1.0,16,5.685763
1.0,3,5.689332
2.0,11,5.704045
3.0,11,5.718155
2.0,5,5.724188
10.0,36,5.767852
4.0,11,5.780367
4.0,8,5.790894
3.0,7,5.800402
3.0,11,5.814435
2.0,3,5.817953
1.0,3,5.821953
3.0,21,5.850553
5.0,19,5.876254
2.0,11,5.889833
3.0,7,5.898404
2.0,7,5.907516
1.0,3,5.913486
3.0,19,5.9372
1.0,11,5.95077
1.0,7,5.960316
4.0,14,5.977351
4.0,12,5.993895
2.0,23,6.023106
4.0,23,6.053789
8.0,31,6.093523
9.0,26,6.126276
3.0,23,6.154316
1.0,2,6.156835
4.0,27,6.190386
4.0,15,6.211756
2.0,11,6.225883
3.0,11,6.240406
3.0,12,6.256439
2.0,23,6.286106
3.0,15,6.304143
5.0,21,6.332689
2.0,11,6.346726
9.0,35,6.389798
2.0,23,6.419865
2.0,7,6.429382
2.0,7,6.438901
1.0,3,6.442901
3.0,18,6.466449
1.0,3,6.470455
3.0,10,7.712875
5.0,35,7.779004
7.0,22,7.820631
1.0,7,7.833151
7.0,18,7.859672
3.0,4,7.867787
9.0,38,7.924366
2.0,11,7.944393
6.0,48,8.008763
3.0,35,8.050968
3.0,31,8.09225
6.0,18,8.114284
4.0,15,8.134351
1.0,13,8.151484
2.0,27,8.192669
5.0,55,8.26347
4.0,19,8.288023
4.0,14,8.306051
3.0,8,8.316581
3.0,14,8.3341
6.0,21,8.360653
3.0,12,8.377256
2.0,7,8.386775
4.0,15,8.40637
2.0,11,8.421909
5.0,23,8.451462
5.0,12,8.47151
3.0,11,8.486628
3.0,23,8.516832
4.0,27,8.554373
4.0,23,8.587593
3.0,19,8.612143
3.0,19,8.63831
4.0,11,8.652883
1.0,11,8.668015
4.0,15,8.687156
2.0,15,8.70626
1.0,2,8.708832
2.0,7,8.719397
2.0,7,8.728948
3.0,15,8.746985
3.0,15,8.769017
4.0,8,8.780538
5.0,55,8.85218
3.0,4,8.857698
3.0,55,8.926339
3.0,15,8.947133
3.0,10,8.959641
1.0,5,8.968166
2.0,31,9.012246
11.0,35,9.058027
4.0,16,9.07906
2.0,11,9.095591
3.0,20,9.119713
3.0,13,9.137752
3.0,19,9.160788
8.0,30,9.197088
3.0,7,9.20562
4.0,10,9.220775
5.0,35,9.26636
3.0,43,9.32097
2.0,7,9.329489
2.0,11,9.344007
2.0,7,9.353524
5.0,23,9.384077
7.0,18,9.407623
1.0,3,9.412137
4.0,15,9.431171
4.0,11,9.445689
3.0,27,9.478757
2.0,7,9.488273
2.0,19,9.512879
1.0,4,9.519006
2.0,11,9.532585
6.0,32,9.574761
5.0,24,9.604141
2.0,15,9.622818
2.0,7,9.632338
3.0,23,9.660887
3.0,21,9.68952
7.0,24,9.719722
2.0,7,9.729239
1.0,3,9.734241
1.0,3,9.73876
4.0,23,9.769314
2.0,3,9.773316
3.0,11,9.786395
4.0,11,9.801978
5.0,23,9.832821
4.0,19,9.857374
3.0,4,9.863373
4.0,15,9.882408
2.0,7,9.891931
5.0,16,9.913548
1.0,2,9.916059
5.0,19,9.941106
1.0,15,9.959141
1.0,2,9.964139
5.0,15,9.983284
1.0,2,9.985824
3.0,5,9.992864
2.0,15,10.012577
4.0,19,10.038291
1.0,29,10.072975
4.0,7,10.082519
2.0,15,10.101553
4.0,34,10.146519
7.0,39,10.19912
4.0,23,10.228194
2.0,3,10.232197
1.0,11,10.246903
2.0,15,10.267932
3.0,35,10.310499
2.0,19,10.334528
1.0,3,10.339042
2.0,15,10.357065
4.0,8,10.367594
2.0,14,10.385618
5.0,51,11.661689
10.0,31,11.700726
2.0,23,11.734306
2.0,7,11.746331
4.0,29,11.788385
2.0,3,11.795893
3.0,19,11.822968
3.0,7,11.834486
4.0,22,11.866552
5.0,15,11.885579
3.0,19,11.908627
3.0,18,11.933183
2.0,3,11.937703
5.0,12,11.953217
4.0,19,11.979773
8.0,19,12.003807
8.0,34,12.045905
13.0,37,12.089699
3.0,11,12.102778
2.0,11,12.115957
5.0,11,12.129663
3.0,23,12.158061
1.0,7,12.166634
1.0,7,12.178125
4.0,17,12.19916
2.0,23,12.228231
3.0,11,12.24175
4.0,12,12.257784
3.0,13,12.2733
4.0,16,12.294335
3.0,13,12.30937
2.0,22,12.336434
5.0,24,12.365983
2.0,6,12.373993
4.0,21,12.402543
3.0,22,12.431611
5.0,16,12.452156
5.0,15,12.472788
5.0,13,12.487804
2.0,11,12.501872
5.0,23,12.530586
10.0,43,12.583174
4.0,20,12.607728
3.0,8,12.617764
4.0,8,12.628265
5.0,10,12.641784
6.0,51,12.705034
3.0,11,12.720743
2.0,3,12.724743
4.0,29,12.761442
9.0,31,12.800568
5.0,19,12.824281
3.0,11,12.840382
2.0,7,12.848955
3.0,11,12.86344
2.0,7,12.872952
2.0,3,12.87746
3.0,11,12.892984
2.0,7,12.903545
3.0,7,12.912649
4.0,14,12.931717
2.0,27,12.964461
7.0,22,12.990153
3.0,15,13.008295
4.0,10,13.020322
11.0,43,13.072759
4.0,23,13.099359
6.0,19,13.121957
5.0,31,13.16109
1.0,3,13.165598
5.0,23,13.195644
3.0,19,13.219717
1.0,7,13.229234
3.0,11,13.242753
2.0,12,13.258786
5.0,15,13.276816
2.0,7,13.286327
7.0,27,13.323081
2.0,11,13.336764
2.0,11,13.349876
4.0,18,13.371544
2.0,11,13.386698
3.0,19,13.409754
4.0,11,13.425783
3.0,35,13.468367
2.0,15,13.486399
3.0,7,13.495913
2.0,6,13.503924
7.0,18,13.526585
5.0,32,13.566322
5.0,16,13.585931
8.0,18,13.607654
4.0,15,13.625797
5.0,37,13.672068
4.0,10,13.685809
4.0,15,13.703413
2.0,11,13.717093
5.0,27,13.74881
4.0,18,13.772861
3.0,11,13.786897
2.0,23,13.818138
4.0,25,13.847795
3.0,19,13.870802
2.0,7,13.880318
4.0,44,13.935989
4.0,13,13.952567
4.0,11,13.966603
3.0,13,13.983119
2.0,3,13.987639
3.0,7,13.997156
3.0,31,14.035939
3.0,10,14.051986
4.0,12,14.067022
2.0,11,14.080537
4.0,8,14.092056
3.0,15,14.116263
3.0,35,14.161582
3.0,19,14.186825
6.0,17,14.206939
3.0,15,14.22684
2.0,15,14.247988
4.0,18,14.277563
3.0,11,14.291087
3.0,23,15.77617
2.0,7,15.787685
1.0,7,15.798211
4.0,14,15.817762
3.0,16,15.837792
2.0,11,15.855819
2.0,3,15.860832
1.0,3,15.867343
3.0,9,15.881867
8.0,14,15.906399
3.0,15,15.926426
3.0,31,15.967504
4.0,7,15.979024
8.0,22,16.007133
2.0,15,16.026219
4.0,22,16.05326
5.0,14,16.070294
2.0,7,16.079812
5.0,23,16.109358
4.0,7,16.118373
2.0,11,16.130884
9.0,15,16.150409
8.0,32,16.189628
3.0,4,16.195629
3.0,11,16.208745
4.0,27,16.240945
2.0,7,16.24946
2.0,14,16.267579
2.0,15,16.286635
4.0,19,16.311686
2.0,7,16.320715
5.0,20,16.346318
3.0,16,16.365923
3.0,12,16.380063
3.0,6,16.38836
3.0,5,16.394329
6.0,23,16.422548
5.0,16,16.442669
4.0,35,16.483948
2.0,3,16.488517
2.0,3,16.492518
8.0,26,16.526139
3.0,6,16.53415
1.0,5,16.540669
4.0,22,16.569856
3.0,7,16.578372
2.0,4,16.584401
7.0,20,16.60912
7.0,14,16.626237
3.0,11,16.640785
4.0,9,16.652322
4.0,29,16.686014
3.0,11,16.699735
8.0,14,16.717772
3.0,11,16.733343
3.0,11,16.746444
4.0,7,16.756013
2.0,7,16.765051
2.0,7,16.774155
9.0,22,16.799735
2.0,7,16.810255
3.0,5,16.816774
11.0,40,16.866354
3.0,12,16.880877
9.0,34,16.922947
6.0,35,16.965015
4.0,22,16.992564
4.0,19,17.017125
3.0,7,17.025633
4.0,11,17.040159
4.0,16,17.060182
9.0,22,17.08771
5.0,34,17.128902
4.0,7,17.139475
3.0,19,17.16259
4.0,22,17.192258
4.0,16,17.212293
6.0,34,17.253366
4.0,11,17.267399
4.0,23,17.295944
3.0,7,17.305955
1.0,7,17.318048
3.0,7,17.326535
1.0,10,17.339058
3.0,18,17.364095
8.0,22,17.390651
3.0,27,17.424208
2.0,7,17.433731
9.0,39,17.481909
3.0,7,17.490425
2.0,6,17.497947
2.0,7,17.508465
6.0,35,17.550126
10.0,26,17.58268
3.0,11,17.596715
1.0,3,17.601715
7.0,23,17.629785
4.0,16,17.652819
3.0,15,17.670834
7.0,19,17.694885
3.0,17,17.716972
11.0,37,17.762059
5.0,19,17.785094
4.0,9,17.79713
2.0,19,17.824177
2.0,7,17.833696
2.0,7,17.843216
3.0,31,17.881281
2.0,3,17.886801
3.0,6,17.894802
6.0,34,17.937415
3.0,11,17.950932
11.0,28,17.984483
3.0,12,18.000518
2.0,3,18.004523
2.0,11,18.019576
3.0,9,18.031094
4.0,19,18.054128
3.0,19,18.078684
3.0,11,18.092202
3.0,11,18.107239
2.0,7,18.116757
7.0,42,18.166863
2.0,11,18.180379
6.0,35,18.224971
5.0,23,18.25452
8.0,23,18.282074
5.0,19,18.306622
5.0,15,18.324661
3.0,7,18.334179
4.0,23,19.579086
12.0,26,19.614695
4.0,32,19.658321
2.0,5,19.664317
8.0,25,19.70193
2.0,3,19.70593
3.0,21,19.73455
11.0,29,19.771687
3.0,7,19.781193
4.0,17,19.801208
10.0,16,19.821747
2.0,7,19.83035
2.0,10,19.843674
8.0,26,19.874355
4.0,23,19.902072
12.0,44,19.955983
1.0,3,19.960021
7.0,30,19.996859
3.0,11,20.010466
4.0,11,20.023606
4.0,24,20.052324
3.0,11,20.06744
5.0,20,20.091574
2.0,10,20.104099
4.0,13,20.120217
1.0,3,20.123789
2.0,7,20.132355
2.0,15,20.151448
12.0,50,20.209671
8.0,35,20.251449
2.0,15,20.27154
10.0,36,20.315714
2.0,10,20.327401
2.0,15,20.347489
3.0,15,20.365056
3.0,19,20.388712
3.0,11,20.402288
9.0,18,20.422969
3.0,7,20.434243
4.0,19,20.457832
5.0,13,20.473376
4.0,22,20.50006
4.0,15,20.520145
3.0,7,20.528288
4.0,17,20.549428
4.0,31,20.594464
4.0,27,20.62706
4.0,11,20.641575
4.0,8,20.651097
4.0,15,20.669218
3.0,15,20.688272
7.0,22,20.714415
4.0,11,20.730083
3.0,11,20.743654
3.0,7,20.752228
2.0,19,20.776428
4.0,9,20.788045
8.0,18,20.809123
3.0,15,20.827456
4.0,19,20.852547
5.0,22,20.878228
2.0,19,20.90225
11.0,52,20.963828
7.0,23,20.990478
2.0,7,21.000045
9.0,17,21.020312
5.0,35,21.064081
3.0,10,21.074617
2.0,23,21.103793
3.0,6,21.111363
4.0,27,21.143111
4.0,31,21.179978
4.0,59,21.251386
4.0,15,21.271073
2.0,7,21.27964
3.0,11,21.293184
2.0,15,21.311063
4.0,11,21.32506
4.0,8,21.334578
3.0,11,21.349615
3.0,9,21.361135
3.0,22,21.387687
2.0,7,21.397283
7.0,10,21.409853
3.0,4,21.414852
2.0,11,21.429493
7.0,20,21.453529
3.0,9,21.465046
3.0,10,21.47808
3.0,11,21.491598
3.0,7,21.500116
3.0,7,21.508631
2.0,7,21.519162
5.0,11,21.53219
5.0,27,21.568241
3.0,14,21.584781
4.0,31,21.622431
1.0,3,21.626949
10.0,30,21.662581
2.0,7,21.671151
4.0,11,21.686209
1.0,7,21.694239
4.0,22,21.720479
4.0,23,21.749289
11.0,17,21.771973
5.0,16,21.79112
3.0,11,21.805692
3.0,19,21.828556
2.0,15,21.847607
3.0,15,21.865749
2.0,7,21.874785
11.0,23,21.904906
4.0,14,21.921058
3.0,7,21.932148
3.0,15,21.950289
3.0,5,21.956861
4.0,8,21.966396
2.0,8,21.976978
4.0,11,21.990541
5.0,15,22.008682
1.0,15,22.028078
1.0,3,22.032081
5.0,24,22.062747
11.0,30,22.099843
1.0,7,22.108432
10.0,19,22.131145
2.0,11,23.310789
3.0,7,23.322302
4.0,13,23.342828
10.0,30,23.384462
3.0,9,23.400484
2.0,7,23.409995
3.0,39,23.465066
2.0,6,23.472575
2.0,11,23.489617
4.0,7,23.502124
1.0,3,23.506124
2.0,11,23.51974
4.0,7,23.528774
9.0,14,23.546791
3.0,5,23.552823
4.0,15,23.57289
4.0,43,23.625939
4.0,13,23.642549
3.0,4,23.649032
4.0,9,23.660084
2.0,3,23.665054
9.0,12,23.680085
11.0,105,23.823466
7.0,22,23.851034
2.0,3,23.857162
4.0,18,23.87923
8.0,10,23.894762
9.0,26,23.925831
12.0,34,23.966738
12.0,39,24.013561
4.0,15,24.033221
3.0,7,24.042768
3.0,7,24.05134
3.0,23,24.079877
4.0,25,24.11044
4.0,26,24.141505
10.0,35,24.183575
9.0,18,24.206128
6.0,29,24.243204
2.0,11,24.256234
3.0,9,24.268767
3.0,17,24.288803
7.0,26,24.321396
4.0,23,24.349962
3.0,7,24.360124
2.0,5,24.367264
7.0,14,24.383774
8.0,18,24.406404
3.0,15,24.424543
3.0,10,24.443702
4.0,5,24.449851
10.0,18,24.47188
3.0,9,24.484397
2.0,15,24.504052
3.0,27,24.536863
4.0,15,24.556919
2.0,7,24.567522
3.0,29,24.602178
2.0,7,24.610747
2.0,15,24.629012
8.0,22,24.656162
3.0,6,24.663172
4.0,18,24.685722
2.0,3,24.690736
9.0,17,24.711768
4.0,8,24.721286
7.0,26,24.753376
3.0,7,24.762894
3.0,15,24.781563
4.0,11,24.795081
2.0,7,24.804599
3.0,15,24.823634
3.0,6,24.831163
9.0,33,24.873906
3.0,19,24.898602
3.0,9,24.910176
3.0,19,24.93285
5.0,13,24.950913
2.0,7,24.959484
8.0,22,24.9861
5.0,12,25.000624
4.0,8,25.01119
3.0,19,25.03439
3.0,9,25.045957
3.0,7,25.054497
7.0,14,25.07259
3.0,11,25.086766
2.0,11,25.101287
5.0,37,25.14408
5.0,10,25.15669
2.0,7,25.166202
8.0,22,25.193243
3.0,19,25.216795
2.0,7,25.225826
2.0,3,25.23284
3.0,12,25.247869
1.0,3,25.251869
3.0,7,25.260384
